"Sex","Atlanta","Dallas","Denver","Miami","San.Diego","Seattle","DC"
2003,5488.636364,2405.172414,2126.126126,8996.336996,1706.896552,710.5263158,2319.444444
2007,6964.646465,2487.931034,1686.486486,7278.321678,1151.231527,1894.736842,1609.375
