"Cash","Atlanta","Dallas","Denver","Miami","San.Diego","Seattle","DC"
2003,13213834503,16556579707,7247542036,12261184011,7971968176,10064154864,18120353523
2007,14775194689,19495884620,7971226390,14279773335,8981900542,12016009403,20634489335
