# ========
# Ratio-margin	01 percent
city_year	p0	p1	p2	p3	
c4_t0	3.22781e+08	1.04551e+08	9.03801e+09	1.12977e+08
c4_t1	3.30432e+08	9.62536e+07	8.68985e+09	7.12135e+07
c5_t0	5.69213e+08	8.82169e+07	1.03102e+10	5.03208e+07
c5_t1	4.15796e+08	8.82549e+07	1.13865e+10	1.2541e+08
c6_t0	1.03934e+09	1.11448e+08	1.68053e+10	1.64267e+08
c6_t1	1.10639e+09	1.03172e+08	1.93184e+10	1.06522e+08
# ========
# Ratio-margin	08 percent
city_year	p0	p1	p2	p3	
c0_t0	1.16886e+09	1.0423e+08	1.52733e+10	3.59922e+08
c0_t1	1.00552e+09	1.16885e+08	1.69903e+10	4.22882e+08
c1_t0	1.1818e+09	1.33926e+08	1.78145e+10	1.57721e+08
c1_t1	1.17911e+09	1.90527e+08	2.0088e+10	1.51063e+08
c2_t0	4.03216e+08	5.46506e+07	7.87561e+09	1.39422e+08
c2_t1	3.24054e+08	6.38795e+07	7.4727e+09	1.10593e+08
c3_t0	7.29513e+08	9.34316e+07	1.6187e+10	5.89942e+08
c3_t1	8.16899e+08	9.56852e+07	1.55718e+10	4.41927e+08
c4_t0	3.21989e+08	1.04551e+08	8.95569e+09	1.11931e+08
c4_t1	3.29621e+08	9.62536e+07	8.61104e+09	6.99008e+07
c5_t0	5.67816e+08	8.82169e+07	1.02163e+10	5.03208e+07
c5_t1	4.14776e+08	8.82549e+07	1.13887e+10	1.24249e+08
c6_t0	1.03679e+09	1.11448e+08	1.68079e+10	1.64267e+08
c6_t1	1.10368e+09	1.03172e+08	1.93221e+10	1.05536e+08
# ========
# Ratio-margin	09 percent
city_year	p0	p1	p2	p3	
c0_t0	1.16603e+09	1.0423e+08	1.51354e+10	3.5662e+08
c0_t1	1.00309e+09	1.16885e+08	1.68376e+10	4.15158e+08
c1_t0	1.17894e+09	1.33926e+08	1.76536e+10	1.56274e+08
c1_t1	1.17626e+09	1.90527e+08	1.99075e+10	1.48304e+08
c2_t0	4.02242e+08	5.46506e+07	7.80452e+09	1.38143e+08
c2_t1	3.23272e+08	6.38795e+07	7.4745e+09	1.09578e+08
c3_t0	7.27752e+08	9.34316e+07	1.60409e+10	5.84529e+08
c3_t1	8.14927e+08	9.56852e+07	1.54318e+10	4.33856e+08
c4_t0	3.21212e+08	1.04551e+08	8.87484e+09	1.10904e+08
c4_t1	3.28825e+08	9.62536e+07	8.53365e+09	6.86241e+07
c5_t0	5.66445e+08	8.82169e+07	1.01241e+10	5.03208e+07
c5_t1	4.13775e+08	8.82549e+07	1.13909e+10	1.23109e+08
c6_t0	1.03428e+09	1.11448e+08	1.68104e+10	1.64267e+08
c6_t1	1.10101e+09	1.03172e+08	1.93257e+10	1.04568e+08
# ========
# Ratio-margin	10 percent
city_year	p0	p1	p2	p3	
c0_t0	1.16326e+09	1.0423e+08	1.5e+10	3.53378e+08
c0_t1	1.0007e+09	1.16885e+08	1.66876e+10	4.07644e+08
c1_t0	1.17614e+09	1.33926e+08	1.74957e+10	1.54853e+08
c1_t1	1.17346e+09	1.90527e+08	1.97301e+10	1.4562e+08
c2_t0	4.01287e+08	5.46506e+07	7.7347e+09	1.36887e+08
c2_t1	3.22503e+08	6.38795e+07	7.47626e+09	1.08582e+08
c3_t0	7.26023e+08	9.34316e+07	1.58974e+10	5.79216e+08
